,Hepatocyte,LSEC,PVEC,CVEC,Cholangiocyte,Kupffer cell,Stellate cell,Fibroblast,Mesothelial cell,B cell,Portal LAM,Other immune cells
Adamtsl2,0.0,0.0,0.0,0.0,0.0,0.0,5.2,6.5,0.0,0.0,0.0,0.0
Adgre1,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Adgrg6,0.0,0.0,6.4,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Axl,0.0,0.0,0.0,0.0,0.0,4.8,0.0,4.0,0.0,0.0,0.0,0.0
C5ar1,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0
Ccr2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,4.7
Ccr7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0
Cd14,0.0,0.0,0.0,0.0,1.1,2.8,0.0,0.0,0.0,0.0,0.0,0.0
Cd19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,0.0,0.0
Cd207,0.0,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0
Cd36,0.0,3.6,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Cd5l,0.0,0.0,0.0,0.0,0.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0
Cd79a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,0.0,0.0
Cd9,0.0,1.3,2.2,2.6,2.7,0.0,0.0,0.0,0.0,0.0,2.0,4.7
Chil3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0
Clec4f,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0
Col1a1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,4.4,0.0,0.0,0.0
Colec11,0.0,0.0,0.0,0.0,0.0,0.0,8.1,3.1,0.0,0.0,0.0,0.0
Cx3cr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0
Cxcl12,1.9,0.0,0.0,0.0,0.0,0.0,5.3,3.1,0.0,0.0,0.0,0.0
Cyp2e1,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dcn,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.3,3.0,0.0,0.0,0.0
Des,0.0,0.0,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0
Dpt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0
Epcam,0.0,0.0,0.0,0.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F13a1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0
Fcgr1,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0
Flt3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7
Flt4,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fn1,1.5,0.0,0.0,0.0,1.7,0.0,1.5,1.7,0.0,0.0,0.5,0.0
Folr2,0.0,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0
Gdf15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0
Ghr,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gja5,0.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gls2,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glul,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gpnmb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,0.0
Grip1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0,0.0,0.0
Hal,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hgf,0.0,1.6,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0
Igfbp3,0.0,0.0,0.0,0.0,0.0,0.0,6.9,4.3,0.0,0.0,0.0,0.0
Itgax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.7
Itgb7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,4.7
Krt19,0.0,0.0,0.0,0.0,7.3,0.0,0.0,0.0,5.7,0.0,0.0,0.0
Lhx6,0.0,0.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lilra5,0.0,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0
Lpl,0.0,0.0,0.0,0.0,0.0,5.0,4.1,4.4,0.0,0.0,0.0,0.0
Lyve1,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mafb,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0
Marco,0.0,0.0,0.0,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0
Ms4a7,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,2.8,0.0
Msln,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,0.0,0.0,0.0
Ncam1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0
Ngfr,0.0,0.0,0.0,0.0,0.0,0.0,7.9,0.0,0.0,0.0,0.0,0.0
Nrxn1,0.0,0.0,0.0,0.0,0.0,0.0,8.3,3.5,0.0,0.0,0.0,0.0
Olfml3,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0
Pck1,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pdgfra,0.0,0.0,0.0,0.0,0.0,0.0,6.3,5.7,0.0,0.0,0.0,0.0
Pdgfrb,0.0,0.0,0.0,0.0,0.0,0.0,6.5,5.6,0.0,0.0,0.0,0.0
Pecam1,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0
Plpp1,0.0,3.7,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prox1,4.7,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reln,0.0,0.0,0.0,0.0,0.0,0.0,7.5,4.1,0.0,0.0,0.0,0.0
Rspo3,0.0,0.0,0.0,6.3,0.0,0.0,3.9,2.2,0.0,0.0,0.0,0.0
Sds,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sirpa,0.0,3.6,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0
Slc40a1,0.0,0.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0
Sox9,0.0,0.0,0.0,0.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7
Spp1,0.0,0.0,0.0,0.0,9.2,0.0,0.0,0.0,0.0,0.0,7.3,0.0
Stab2,0.0,4.6,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Svep1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,0.0,0.0,0.0,0.0
Timd4,0.0,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0
Tmem119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0
Trem2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Upk3b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,0.0,0.0,0.0
Vsig4,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0
Vwf,0.0,0.0,4.6,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wnt2,0.0,3.4,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wnt9b,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wt1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,7.2,0.0,0.0,0.0
